Input Prompt,Target Response
" hey, what's17/3?",17/3=5.666666666666667
what's10+4?,10+4=14
value of 4x11?,4x11=44
value of 15x5?,15x5=75
what's7-10?,7-10=-3
what's15-13?,15-13=2
what's16x1?,16x1=16
value of 21-15?,21-15=6
What is 15+9?,15+9=24
value of 6-5?,6-5=1
" hey, what's16/13?",16/13=1.2307692307692308
value of 2+14?,2+14=16
" hey, what's19-6?",19-6=13
What is 12/11?,12/11=1.0909090909090908
what's17-3?,17-3=14
what's8x1?,8x1=8
" hey, what's17-13?",17-13=4
value of 21+10?,21+10=31
What is 14-19?,14-19=-5
what's6-20?,6-20=-14
what's3+8?,3+8=11
what's6+10?,6+10=16
value of 9/19?,9/19=0.47368421052631576
" hey, what's17x16?",17x16=272
value of 7-6?,7-6=1
value of 2-13?,2-13=-11
value of 14x20?,14x20=280
value of 5/6?,5/6=0.8333333333333334
value of 18-1?,18-1=17
value of 4x7?,4x7=28
What is 10x13?,10x13=130
" hey, what's8/17?",8/17=0.47058823529411764
value of 9-19?,9-19=-10
value of 18/3?,18/3=6.0
value of 2x7?,2x7=14
What is 17+10?,17+10=27
" hey, what's16/7?",16/7=2.2857142857142856
value of 6-8?,6-8=-2
what's18x14?,18x14=252
value of 19+5?,19+5=24
What is 17/12?,17/12=1.4166666666666667
" hey, what's2x14?",2x14=28
value of 9/6?,9/6=1.5
" hey, what's15-8?",15-8=7
value of 4/7?,4/7=0.5714285714285714
" hey, what's4/14?",4/14=0.2857142857142857
What is 7x12?,7x12=84
what's11-19?,11-19=-8
What is 14+12?,14+12=26
value of 21+15?,21+15=36
What is 5+10?,5+10=15
What is 11/1?,11/1=11.0
" hey, what's16-16?",16-16=0
" hey, what's4/20?",4/20=0.2
What is 21/7?,21/7=3.0
value of 8+11?,8+11=19
" hey, what's12x11?",12x11=132
value of 4+12?,4+12=16
" hey, what's17+9?",17+9=26
What is 1-17?,1-17=-16
What is 1-12?,1-12=-11
What is 19/18?,19/18=1.0555555555555556
value of 5/1?,5/1=5.0
what's2x6?,2x6=12
" hey, what's4+19?",4+19=23
" hey, what's17-14?",17-14=3
What is 10+3?,10+3=13
" hey, what's15/18?",15/18=0.8333333333333334
What is 19+15?,19+15=34
what's20+1?,20+1=21
" hey, what's13/2?",13/2=6.5
" hey, what's2/15?",2/15=0.13333333333333333
what's19-14?,19-14=5
value of 11-19?,11-19=-8
What is 13x8?,13x8=104
What is 12+14?,12+14=26
What is 12-17?,12-17=-5
What is 20/9?,20/9=2.2222222222222223
value of 7x15?,7x15=105
value of 1-17?,1-17=-16
What is 3x14?,3x14=42
what's19+12?,19+12=31
value of 16x6?,16x6=96
what's14/13?,14/13=1.0769230769230769
what's14+3?,14+3=17
value of 7x1?,7x1=7
value of 18/12?,18/12=1.5
What is 4-6?,4-6=-2
value of 19x19?,19x19=361
what's4x4?,4x4=16
value of 8x20?,8x20=160
what's21-13?,21-13=8
" hey, what's2x17?",2x17=34
value of 14/20?,14/20=0.7
" hey, what's2/16?",2/16=0.125
what's10x19?,10x19=190
value of 3x17?,3x17=51
what's1/5?,1/5=0.2
value of 7x20?,7x20=140
" hey, what's14-9?",14-9=5
" hey, what's4/2?",4/2=2.0
value of 19-4?,19-4=15
" hey, what's8+7?",8+7=15
What is 16x5?,16x5=80
" hey, what's7/3?",7/3=2.3333333333333335
What is 9+7?,9+7=16
" hey, what's18-3?",18-3=15
what's4/12?,4/12=0.3333333333333333
value of 19+19?,19+19=38
" hey, what's2+19?",2+19=21
What is 16-4?,16-4=12
What is 19x9?,19x9=171
" hey, what's4x10?",4x10=40
What is 15-10?,15-10=5
what's21/16?,21/16=1.3125
" hey, what's3-5?",3-5=-2
" hey, what's9-13?",9-13=-4
" hey, what's5x18?",5x18=90
value of 14-7?,14-7=7
" hey, what's16x2?",16x2=32
what's14-3?,14-3=11
value of 18x18?,18x18=324
" hey, what's20x16?",20x16=320
" hey, what's6-7?",6-7=-1
What is 4+7?,4+7=11
what's11-2?,11-2=9
value of 5-14?,5-14=-9
" hey, what's19-1?",19-1=18
What is 16/3?,16/3=5.333333333333333
what's2-6?,2-6=-4
" hey, what's20-17?",20-17=3
" hey, what's10/7?",10/7=1.4285714285714286
What is 21x14?,21x14=294
what's7/10?,7/10=0.7
What is 6-20?,6-20=-14
" hey, what's11+14?",11+14=25
What is 15-14?,15-14=1
value of 2/6?,2/6=0.3333333333333333
what's19x6?,19x6=114
what's20+12?,20+12=32
value of 14+6?,14+6=20
value of 12+16?,12+16=28
" hey, what's19-20?",19-20=-1
value of 14x10?,14x10=140
value of 3/11?,3/11=0.2727272727272727
" hey, what's20+18?",20+18=38
What is 1x7?,1x7=7
What is 4/7?,4/7=0.5714285714285714
value of 12/18?,12/18=0.6666666666666666
What is 15-3?,15-3=12
what's12+12?,12+12=24
" hey, what's4+13?",4+13=17
What is 14-15?,14-15=-1
What is 15x13?,15x13=195
what's4x1?,4x1=4
" hey, what's21/9?",21/9=2.3333333333333335
value of 3-12?,3-12=-9
what's1+15?,1+15=16
What is 2/12?,2/12=0.16666666666666666
" hey, what's7-13?",7-13=-6
what's18+8?,18+8=26
" hey, what's2/20?",2/20=0.1
what's2+10?,2+10=12
What is 13-11?,13-11=2
value of 17-11?,17-11=6
value of 19-20?,19-20=-1
What is 9+1?,9+1=10
what's8x13?,8x13=104
what's20+15?,20+15=35
value of 15/5?,15/5=3.0
" hey, what's9+4?",9+4=13
value of 17+16?,17+16=33
What is 6x17?,6x17=102
" hey, what's2x3?",2x3=6
what's12-12?,12-12=0
" hey, what's1/7?",1/7=0.14285714285714285
what's4+18?,4+18=22
value of 11+19?,11+19=30
What is 18-8?,18-8=10
" hey, what's10/3?",10/3=3.3333333333333335
What is 1+2?,1+2=3
What is 9x15?,9x15=135
" hey, what's17+3?",17+3=20
value of 18-2?,18-2=16
what's16-20?,16-20=-4
value of 1-18?,1-18=-17
What is 12+6?,12+6=18
value of 11x13?,11x13=143
" hey, what's14-10?",14-10=4
" hey, what's18x13?",18x13=234
" hey, what's11-10?",11-10=1
" hey, what's16x15?",16x15=240
" hey, what's8-5?",8-5=3
What is 3+9?,3+9=12
what's5+13?,5+13=18
value of 13/6?,13/6=2.1666666666666665
value of 17x1?,17x1=17
What is 10x3?,10x3=30
What is 1/3?,1/3=0.3333333333333333
what's4+6?,4+6=10
What is 19/20?,19/20=0.95
" hey, what's6x15?",6x15=90
What is 17-12?,17-12=5
what's13-10?,13-10=3
What is 9+14?,9+14=23
" hey, what's16-14?",16-14=2
what's13/3?,13/3=4.333333333333333
What is 20/18?,20/18=1.1111111111111112
What is 20-8?,20-8=12
what's8x18?,8x18=144
What is 5-14?,5-14=-9
value of 5-7?,5-7=-2
value of 10-19?,10-19=-9
" hey, what's20/2?",20/2=10.0
" hey, what's6/12?",6/12=0.5
" hey, what's16x14?",16x14=224
" hey, what's20-1?",20-1=19
" hey, what's12-4?",12-4=8
value of 1x19?,1x19=19
what's16x5?,16x5=80
what's15-10?,15-10=5
what's1/17?,1/17=0.058823529411764705
What is 14/14?,14/14=1.0
what's11x2?,11x2=22
what's13-5?,13-5=8
What is 1-8?,1-8=-7
value of 6-14?,6-14=-8
value of 5x7?,5x7=35
What is 3+3?,3+3=6
" hey, what's20x6?",20x6=120
what's12x5?,12x5=60
" hey, what's4-3?",4-3=1
What is 13/16?,13/16=0.8125
" hey, what's14-6?",14-6=8
What is 8/15?,8/15=0.5333333333333333
what's12x16?,12x16=192
What is 11/16?,11/16=0.6875
value of 6-11?,6-11=-5
What is 17-3?,17-3=14
" hey, what's9+3?",9+3=12
What is 10/10?,10/10=1.0
" hey, what's3-7?",3-7=-4
value of 16+16?,16+16=32
" hey, what's4+1?",4+1=5
What is 6x14?,6x14=84
" hey, what's8-10?",8-10=-2
value of 4x2?,4x2=8
value of 9/8?,9/8=1.125
value of 3/10?,3/10=0.3
what's3+4?,3+4=7
" hey, what's11x6?",11x6=66
value of 20-20?,20-20=0
" hey, what's11+4?",11+4=15
what's13+4?,13+4=17
what's3x3?,3x3=9
value of 3x2?,3x2=6
what's1+17?,1+17=18
" hey, what's9/7?",9/7=1.2857142857142858
" hey, what's20x12?",20x12=240
" hey, what's7+4?",7+4=11
value of 8-4?,8-4=4
what's19/4?,19/4=4.75
What is 7/18?,7/18=0.3888888888888889
What is 12/12?,12/12=1.0
" hey, what's4-16?",4-16=-12
What is 9+17?,9+17=26
" hey, what's8/19?",8/19=0.42105263157894735
what's12/17?,12/17=0.7058823529411765
" hey, what's14+7?",14+7=21
value of 2/4?,2/4=0.5
" hey, what's13+20?",13+20=33
value of 20-5?,20-5=15
" hey, what's16/12?",16/12=1.3333333333333333
value of 12+11?,12+11=23
what's4-11?,4-11=-7
value of 14x13?,14x13=182
value of 7-8?,7-8=-1
what's9x9?,9x9=81
What is 18x14?,18x14=252
" hey, what's2+15?",2+15=17
what's2-5?,2-5=-3
" hey, what's17/4?",17/4=4.25
" hey, what's6-5?",6-5=1
value of 7/18?,7/18=0.3888888888888889
what's14-15?,14-15=-1
what's17/14?,17/14=1.2142857142857142
what's18/13?,18/13=1.3846153846153846
value of 3+19?,3+19=22
value of 16/9?,16/9=1.7777777777777777
" hey, what's10/10?",10/10=1.0
value of 19+13?,19+13=32
What is 10+9?,10+9=19
what's10x10?,10x10=100
value of 19-10?,19-10=9
what's14-11?,14-11=3
What is 7/17?,7/17=0.4117647058823529
What is 11+18?,11+18=29
" hey, what's21-17?",21-17=4
value of 19-17?,19-17=2
" hey, what's3+6?",3+6=9
What is 2-7?,2-7=-5
what's17+10?,17+10=27
What is 11+2?,11+2=13
what's8+6?,8+6=14
what's16-10?,16-10=6
what's17x17?,17x17=289
" hey, what's5/20?",5/20=0.25
what's14+9?,14+9=23
" hey, what's17+11?",17+11=28
" hey, what's8/16?",8/16=0.5
what's5-4?,5-4=1
what's16/18?,16/18=0.8888888888888888
What is 14+5?,14+5=19
value of 17x20?,17x20=340
value of 19x2?,19x2=38
value of 19/11?,19/11=1.7272727272727273
value of 14-12?,14-12=2
What is 17x14?,17x14=238
what's16+12?,16+12=28
" hey, what's18+18?",18+18=36
What is 10-6?,10-6=4
what's19-9?,19-9=10
value of 13-8?,13-8=5
What is 3+7?,3+7=10
What is 21/17?,21/17=1.2352941176470589
" hey, what's2+13?",2+13=15
What is 9-10?,9-10=-1
What is 18x7?,18x7=126
value of 12+17?,12+17=29
value of 18+9?,18+9=27
value of 1+18?,1+18=19
value of 15/18?,15/18=0.8333333333333334
what's14/10?,14/10=1.4
" hey, what's18+9?",18+9=27
what's5-18?,5-18=-13
" hey, what's8-13?",8-13=-5
" hey, what's21-11?",21-11=10
what's1+9?,1+9=10
What is 1+6?,1+6=7
" hey, what's13-15?",13-15=-2
value of 15+8?,15+8=23
" hey, what's1x18?",1x18=18
value of 7/13?,7/13=0.5384615384615384
" hey, what's5x4?",5x4=20
What is 13x20?,13x20=260
what's21x15?,21x15=315
" hey, what's15/10?",15/10=1.5
what's17-1?,17-1=16
what's1/14?,1/14=0.07142857142857142
What is 19x11?,19x11=209
What is 2+5?,2+5=7
What is 2x13?,2x13=26
" hey, what's7-5?",7-5=2
value of 5/14?,5/14=0.35714285714285715
value of 17/16?,17/16=1.0625
what's11+17?,11+17=28
what's14-7?,14-7=7
" hey, what's9x20?",9x20=180
what's11-18?,11-18=-7
What is 9/1?,9/1=9.0
value of 10/20?,10/20=0.5
What is 1-14?,1-14=-13
what's11+7?,11+7=18
what's19/10?,19/10=1.9
What is 15-1?,15-1=14
what's6-14?,6-14=-8
What is 18+13?,18+13=31
value of 7x9?,7x9=63
What is 17+3?,17+3=20
" hey, what's5x19?",5x19=95
value of 3+2?,3+2=5
value of 6-15?,6-15=-9
value of 8x1?,8x1=8
value of 7-12?,7-12=-5
value of 17/4?,17/4=4.25
What is 15/8?,15/8=1.875
What is 10x16?,10x16=160
What is 12/8?,12/8=1.5
what's14x4?,14x4=56
value of 12-14?,12-14=-2
What is 13/4?,13/4=3.25
what's9-9?,9-9=0
value of 19/6?,19/6=3.1666666666666665
what's21/18?,21/18=1.1666666666666667
value of 20x18?,20x18=360
value of 2-5?,2-5=-3
What is 21x11?,21x11=231
What is 18+6?,18+6=24
value of 11x17?,11x17=187
" hey, what's6+16?",6+16=22
value of 15x8?,15x8=120
" hey, what's20/17?",20/17=1.1764705882352942
" hey, what's12x9?",12x9=108
" hey, what's7-11?",7-11=-4
what's18/1?,18/1=18.0
What is 12-9?,12-9=3
What is 1-16?,1-16=-15
What is 10/18?,10/18=0.5555555555555556
value of 6-13?,6-13=-7
what's16-1?,16-1=15
What is 11+16?,11+16=27
what's7+10?,7+10=17
" hey, what's15/4?",15/4=3.75
what's18x18?,18x18=324
value of 17x4?,17x4=68
" hey, what's7-20?",7-20=-13
value of 13-20?,13-20=-7
value of 20+1?,20+1=21
" hey, what's10x15?",10x15=150
" hey, what's9-6?",9-6=3
value of 14-11?,14-11=3
value of 16x17?,16x17=272
What is 4/16?,4/16=0.25
what's11/19?,11/19=0.5789473684210527
What is 12+13?,12+13=25
What is 12-3?,12-3=9
What is 14+16?,14+16=30
" hey, what's4/11?",4/11=0.36363636363636365
value of 8+19?,8+19=27
" hey, what's19-10?",19-10=9
What is 16+14?,16+14=30
value of 13x12?,13x12=156
what's3-1?,3-1=2
what's18x2?,18x2=36
value of 17/3?,17/3=5.666666666666667
what's15-3?,15-3=12
what's16x9?,16x9=144
value of 10+3?,10+3=13
value of 6/15?,6/15=0.4
What is 16/1?,16/1=16.0
" hey, what's1+13?",1+13=14
value of 8/9?,8/9=0.8888888888888888
value of 1-19?,1-19=-18
What is 7-3?,7-3=4
What is 13/18?,13/18=0.7222222222222222
What is 21+7?,21+7=28
What is 10/5?,10/5=2.0
" hey, what's14-1?",14-1=13
value of 16+18?,16+18=34
value of 18/1?,18/1=18.0
value of 20-16?,20-16=4
what's19x15?,19x15=285
value of 8-1?,8-1=7
" hey, what's11-7?",11-7=4
value of 3-7?,3-7=-4
" hey, what's1+6?",1+6=7
" hey, what's16x19?",16x19=304
what's13/9?,13/9=1.4444444444444444
" hey, what's18-9?",18-9=9
" hey, what's17-1?",17-1=16
What is 12/15?,12/15=0.8
" hey, what's2+5?",2+5=7
" hey, what's13-19?",13-19=-6
what's20+4?,20+4=24
What is 21-14?,21-14=7
value of 11/5?,11/5=2.2
" hey, what's10-2?",10-2=8
" hey, what's9-9?",9-9=0
what's15+17?,15+17=32
what's5x18?,5x18=90
What is 1x18?,1x18=18
value of 16-1?,16-1=15
What is 20x7?,20x7=140
what's2+8?,2+8=10
" hey, what's12/20?",12/20=0.6
value of 13/10?,13/10=1.3
what's14-5?,14-5=9
what's20-11?,20-11=9
what's1+18?,1+18=19
what's15+9?,15+9=24
what's18/14?,18/14=1.2857142857142858
" hey, what's12x13?",12x13=156
what's15-2?,15-2=13
what's13x19?,13x19=247
what's11+15?,11+15=26
value of 9x6?,9x6=54
What is 7x14?,7x14=98
What is 19x4?,19x4=76
" hey, what's9+18?",9+18=27
" hey, what's4x3?",4x3=12
" hey, what's5x9?",5x9=45
value of 2x15?,2x15=30
What is 19x2?,19x2=38
" hey, what's9/1?",9/1=9.0
What is 3-8?,3-8=-5
value of 13+1?,13+1=14
what's6/7?,6/7=0.8571428571428571
value of 11x20?,11x20=220
what's5+18?,5+18=23
what's15/1?,15/1=15.0
what's18+16?,18+16=34
value of 10/16?,10/16=0.625
" hey, what's18/5?",18/5=3.6
What is 1-13?,1-13=-12
" hey, what's2x7?",2x7=14
value of 14/10?,14/10=1.4
" hey, what's14/1?",14/1=14.0
What is 15-13?,15-13=2
value of 17x11?,17x11=187
What is 7+3?,7+3=10
What is 9/2?,9/2=4.5
what's8-15?,8-15=-7
what's7-8?,7-8=-1
What is 13/5?,13/5=2.6
" hey, what's4x19?",4x19=76
What is 17x12?,17x12=204
" hey, what's15-11?",15-11=4
what's8+15?,8+15=23
What is 10x20?,10x20=200
What is 9-4?,9-4=5
What is 8-17?,8-17=-9
what's7/2?,7/2=3.5
value of 17/10?,17/10=1.7
What is 13+7?,13+7=20
value of 7+18?,7+18=25
what's13/16?,13/16=0.8125
what's20-17?,20-17=3
value of 20-2?,20-2=18
" hey, what's11-12?",11-12=-1
What is 4-1?,4-1=3
what's5-16?,5-16=-11
value of 7-14?,7-14=-7
value of 3+11?,3+11=14
What is 14x5?,14x5=70
what's18x20?,18x20=360
value of 11+9?,11+9=20
what's17+2?,17+2=19
value of 9/4?,9/4=2.25
value of 14+10?,14+10=24
what's17-4?,17-4=13
What is 2/6?,2/6=0.3333333333333333
What is 9/10?,9/10=0.9
What is 16+11?,16+11=27
what's12-14?,12-14=-2
value of 15x10?,15x10=150
What is 16-5?,16-5=11
value of 21-2?,21-2=19
What is 15-9?,15-9=6
What is 17-13?,17-13=4
value of 6/14?,6/14=0.42857142857142855
what's17/12?,17/12=1.4166666666666667
What is 17-17?,17-17=0
value of 11x14?,11x14=154
value of 18+1?,18+1=19
" hey, what's2x2?",2x2=4
" hey, what's16+2?",16+2=18
" hey, what's21/2?",21/2=10.5
what's4/13?,4/13=0.3076923076923077
value of 10-7?,10-7=3
value of 16x3?,16x3=48
what's20/20?,20/20=1.0
what's10+18?,10+18=28
value of 16x15?,16x15=240
value of 13+17?,13+17=30
what's1/19?,1/19=0.05263157894736842
" hey, what's16-2?",16-2=14
what's14/17?,14/17=0.8235294117647058
what's3-18?,3-18=-15
" hey, what's10-4?",10-4=6
what's19+18?,19+18=37
" hey, what's11-13?",11-13=-2
value of 4/13?,4/13=0.3076923076923077
value of 15/4?,15/4=3.75
What is 14+11?,14+11=25
" hey, what's3x4?",3x4=12
" hey, what's10-14?",10-14=-4
what's20/11?,20/11=1.8181818181818181
" hey, what's20/14?",20/14=1.4285714285714286
what's12/4?,12/4=3.0
" hey, what's16x18?",16x18=288
what's16x7?,16x7=112
What is 3/3?,3/3=1.0
What is 19-17?,19-17=2
what's7+13?,7+13=20
" hey, what's10-16?",10-16=-6
what's6/3?,6/3=2.0
value of 6x16?,6x16=96
value of 19+1?,19+1=20
what's16+11?,16+11=27
" hey, what's21x18?",21x18=378
value of 13/15?,13/15=0.8666666666666667
value of 6x8?,6x8=48
value of 13+7?,13+7=20
" hey, what's3+7?",3+7=10
What is 6x1?,6x1=6
what's14+20?,14+20=34
value of 2/3?,2/3=0.6666666666666666
" hey, what's5x14?",5x14=70
value of 8-20?,8-20=-12
value of 8+5?,8+5=13
What is 11-10?,11-10=1
" hey, what's11+10?",11+10=21
" hey, what's3/16?",3/16=0.1875
" hey, what's11x11?",11x11=121
" hey, what's20-18?",20-18=2
What is 17-7?,17-7=10
what's3x6?,3x6=18
" hey, what's18x2?",18x2=36
What is 7+18?,7+18=25
value of 17-3?,17-3=14
What is 14+18?,14+18=32
" hey, what's3-18?",3-18=-15
What is 1x9?,1x9=9
what's10+17?,10+17=27
what's7+5?,7+5=12
value of 8-16?,8-16=-8
what's14-16?,14-16=-2
value of 7-18?,7-18=-11
" hey, what's4+6?",4+6=10
What is 3/8?,3/8=0.375
what's5x15?,5x15=75
What is 10/15?,10/15=0.6666666666666666
" hey, what's12/9?",12/9=1.3333333333333333
what's20-14?,20-14=6
what's11/18?,11/18=0.6111111111111112
" hey, what's6+12?",6+12=18
value of 8/6?,8/6=1.3333333333333333
value of 8x19?,8x19=152
value of 12x1?,12x1=12
" hey, what's2/8?",2/8=0.25
" hey, what's19/12?",19/12=1.5833333333333333
value of 21x12?,21x12=252
" hey, what's14+15?",14+15=29
what's7/14?,7/14=0.5
What is 16x8?,16x8=128
" hey, what's10/14?",10/14=0.7142857142857143
" hey, what's6-19?",6-19=-13
what's7/16?,7/16=0.4375
" hey, what's9+2?",9+2=11
What is 16-15?,16-15=1
value of 20-12?,20-12=8
" hey, what's4/17?",4/17=0.23529411764705882
what's18+13?,18+13=31
value of 11x15?,11x15=165
value of 20-14?,20-14=6
What is 16x16?,16x16=256
What is 5/9?,5/9=0.5555555555555556
What is 6-13?,6-13=-7
" hey, what's19x5?",19x5=95
What is 19x3?,19x3=57
" hey, what's7x15?",7x15=105
value of 5x15?,5x15=75
" hey, what's7-2?",7-2=5
What is 8/16?,8/16=0.5
what's4/2?,4/2=2.0
What is 11-8?,11-8=3
what's5x13?,5x13=65
value of 15-5?,15-5=10
what's9-12?,9-12=-3
what's1/6?,1/6=0.16666666666666666
what's1-11?,1-11=-10
what's9x10?,9x10=90
What is 7x4?,7x4=28
value of 12/5?,12/5=2.4
value of 1+19?,1+19=20
What is 1/15?,1/15=0.06666666666666667
what's3x4?,3x4=12
" hey, what's2-20?",2-20=-18
what's18/5?,18/5=3.6
" hey, what's13/19?",13/19=0.6842105263157895
" hey, what's12-9?",12-9=3
" hey, what's9/9?",9/9=1.0
What is 10-1?,10-1=9
value of 9+20?,9+20=29
" hey, what's9x13?",9x13=117
value of 4-7?,4-7=-3
value of 16-7?,16-7=9
value of 14+19?,14+19=33
What is 13-9?,13-9=4
What is 10x14?,10x14=140
What is 19/13?,19/13=1.4615384615384615
value of 4+17?,4+17=21
" hey, what's15-14?",15-14=1
what's5x17?,5x17=85
value of 11x9?,11x9=99
" hey, what's7-1?",7-1=6
value of 7/9?,7/9=0.7777777777777778
what's10+19?,10+19=29
What is 18/11?,18/11=1.6363636363636365
" hey, what's11x7?",11x7=77
What is 2/2?,2/2=1.0
what's5/18?,5/18=0.2777777777777778
value of 11-1?,11-1=10
What is 15/11?,15/11=1.3636363636363635
" hey, what's11-17?",11-17=-6
What is 15+15?,15+15=30
value of 13-7?,13-7=6
value of 3+1?,3+1=4
What is 2/17?,2/17=0.11764705882352941
value of 9-7?,9-7=2
what's6-2?,6-2=4
what's15x14?,15x14=210
value of 8-13?,8-13=-5
what's7+7?,7+7=14
value of 19x9?,19x9=171
what's3+5?,3+5=8
value of 14/1?,14/1=14.0
" hey, what's15+16?",15+16=31
" hey, what's21-16?",21-16=5
what's17-6?,17-6=11
value of 17x10?,17x10=170
" hey, what's15x6?",15x6=90
what's17/13?,17/13=1.3076923076923077
value of 21/2?,21/2=10.5
value of 3-4?,3-4=-1
" hey, what's4/10?",4/10=0.4
What is 7x8?,7x8=56
what's3x15?,3x15=45
" hey, what's2/9?",2/9=0.2222222222222222
What is 2+2?,2+2=4
what's13-8?,13-8=5
What is 13/19?,13/19=0.6842105263157895
what's3+15?,3+15=18
What is 7x16?,7x16=112
value of 15/8?,15/8=1.875
what's4+20?,4+20=24
What is 14x7?,14x7=98
" hey, what's1/5?",1/5=0.2
what's4/15?,4/15=0.26666666666666666
value of 8x17?,8x17=136
" hey, what's15/1?",15/1=15.0
value of 10+2?,10+2=12
" hey, what's16+1?",16+1=17
value of 2x5?,2x5=10
what's4x3?,4x3=12
what's17+8?,17+8=25
what's10x9?,10x9=90
What is 18-19?,18-19=-1
What is 4x1?,4x1=4
what's13-18?,13-18=-5
value of 20/8?,20/8=2.5
" hey, what's1+20?",1+20=21
value of 14+13?,14+13=27
what's3+10?,3+10=13
value of 8x11?,8x11=88
" hey, what's12-3?",12-3=9
value of 5/19?,5/19=0.2631578947368421
what's8/16?,8/16=0.5
value of 17+6?,17+6=23
what's14-6?,14-6=8
" hey, what's3+14?",3+14=17
What is 19-14?,19-14=5
value of 6-2?,6-2=4
value of 21x2?,21x2=42
" hey, what's19-17?",19-17=2
what's2/8?,2/8=0.25
What is 13-19?,13-19=-6
What is 2-19?,2-19=-17
" hey, what's11-8?",11-8=3
value of 7/20?,7/20=0.35
value of 4-4?,4-4=0
What is 21+8?,21+8=29
value of 14/6?,14/6=2.3333333333333335
" hey, what's20/12?",20/12=1.6666666666666667
" hey, what's8x13?",8x13=104
what's15/5?,15/5=3.0
What is 17+9?,17+9=26
value of 16-18?,16-18=-2
value of 16x19?,16x19=304
" hey, what's13+17?",13+17=30
What is 13x17?,13x17=221
value of 16+20?,16+20=36
What is 19/6?,19/6=3.1666666666666665
What is 12-16?,12-16=-4
value of 3-10?,3-10=-7
" hey, what's9+5?",9+5=14
What is 3-7?,3-7=-4
What is 13+8?,13+8=21
What is 21x3?,21x3=63
value of 7x2?,7x2=14
value of 21/12?,21/12=1.75
value of 4+8?,4+8=12
what's6x9?,6x9=54
What is 21+5?,21+5=26
value of 6/11?,6/11=0.5454545454545454
What is 4+5?,4+5=9
value of 17-15?,17-15=2
What is 17/20?,17/20=0.85
What is 3x19?,3x19=57
what's3x10?,3x10=30
" hey, what's10/2?",10/2=5.0
what's17x16?,17x16=272
What is 17-20?,17-20=-3
what's19+20?,19+20=39
value of 4-16?,4-16=-12
What is 4/12?,4/12=0.3333333333333333
what's20x6?,20x6=120
What is 1-18?,1-18=-17
what's7-12?,7-12=-5
value of 1-15?,1-15=-14
What is 9-18?,9-18=-9
" hey, what's14x16?",14x16=224
value of 19/15?,19/15=1.2666666666666666
What is 18+4?,18+4=22
what's18-13?,18-13=5
what's9/5?,9/5=1.8
What is 18x11?,18x11=198
value of 3+16?,3+16=19
What is 7+8?,7+8=15
value of 4-9?,4-9=-5
What is 7-17?,7-17=-10
" hey, what's12-20?",12-20=-8
" hey, what's10/16?",10/16=0.625
value of 16+7?,16+7=23
" hey, what's4x15?",4x15=60
value of 14+14?,14+14=28
What is 13x19?,13x19=247
value of 13/19?,13/19=0.6842105263157895
value of 7/12?,7/12=0.5833333333333334
value of 14/8?,14/8=1.75
" hey, what's14+5?",14+5=19
what's15x5?,15x5=75
value of 21x8?,21x8=168
What is 11x15?,11x15=165
value of 7-1?,7-1=6
What is 13x18?,13x18=234
" hey, what's21-1?",21-1=20
" hey, what's18-17?",18-17=1
what's7x20?,7x20=140
What is 12x19?,12x19=228
What is 5/11?,5/11=0.45454545454545453
value of 21+20?,21+20=41
What is 13x9?,13x9=117
what's20-15?,20-15=5
value of 11/20?,11/20=0.55
